ID,模块,优先级,功能标题,状态
REX-0451,"安全与隐私",P2,"防泄露",待开发
REX-0452,"安全与隐私",P2,"RateLimit",待开发
REX-0453,"安全与隐私",P2,"Phishing",待开发
REX-0454,"安全与隐私",P2,"Dependabot",待开发
REX-0455,"安全与隐私",P2,"npm audit",待开发
REX-0456,"安全与隐私",P2,"渗透",待开发
REX-0457,"安全与隐私",P2,"BugBounty",待开发
REX-0458,"安全与隐私",P2,"KMS",待开发
REX-0459,"安全与隐私",P2,"Timelock",待开发
REX-0460,"安全与隐私",P2,"Breaker",待开发
REX-0461,"安全与隐私",P2,"CORS",待开发
REX-0462,"安全与隐私",P2,"CSP",待开发
REX-0463,"安全与隐私",P2,"HSTS",待开发
REX-0464,"安全与隐私",P2,"脱敏",待开发
REX-0465,"安全与隐私",P2,"JWT",待开发
REX-0466,"安全与隐私",P2,"合约审计 #2",待开发
REX-0467,"安全与隐私",P2,"Slither #2",待开发
REX-0468,"安全与隐私",P2,"XSS #2",待开发
REX-0469,"安全与隐私",P2,"CSRF #2",待开发
REX-0470,"安全与隐私",P2,"Key隔离 #2",待开发
REX-0471,"安全与隐私",P2,"防泄露 #2",待开发
REX-0472,"安全与隐私",P2,"RateLimit #2",待开发
REX-0473,"安全与隐私",P2,"Phishing #2",待开发
REX-0474,"安全与隐私",P2,"Dependabot #2",待开发
REX-0475,"安全与隐私",P2,"npm audit #2",待开发
REX-0476,"安全与隐私",P2,"渗透 #2",待开发
REX-0477,"安全与隐私",P2,"BugBounty #2",待开发
REX-0478,"安全与隐私",P2,"KMS #2",待开发
REX-0479,"安全与隐私",P2,"Timelock #2",待开发
REX-0480,"安全与隐私",P2,"Breaker #2",待开发
REX-0481,"安全与隐私",P2,"CORS #2",待开发
REX-0482,"安全与隐私",P2,"CSP #2",待开发
REX-0483,"安全与隐私",P2,"HSTS #2",待开发
REX-0484,"安全与隐私",P2,"脱敏 #2",待开发
REX-0485,"安全与隐私",P2,"JWT #2",待开发
REX-0486,"安全与隐私",P2,"合约审计 #3",待开发
REX-0487,"安全与隐私",P2,"Slither #3",待开发
REX-0488,"安全与隐私",P2,"XSS #3",待开发
REX-0489,"安全与隐私",P2,"CSRF #3",待开发
REX-0490,"安全与隐私",P2,"Key隔离 #3",待开发
REX-0491,"安全与隐私",P2,"防泄露 #3",待开发
REX-0492,"安全与隐私",P2,"RateLimit #3",待开发
REX-0493,"安全与隐私",P2,"Phishing #3",待开发
REX-0494,"安全与隐私",P2,"Dependabot #3",待开发
REX-0495,"安全与隐私",P2,"npm audit #3",待开发
REX-0496,"安全与隐私",P2,"渗透 #3",待开发
REX-0497,"安全与隐私",P2,"BugBounty #3",待开发
REX-0498,"安全与隐私",P2,"KMS #3",待开发
REX-0499,"安全与隐私",P2,"Timelock #3",待开发
REX-0500,"安全与隐私",P2,"Breaker #3",待开发
REX-0501,"安全与隐私",P2,"CORS #3",待开发
REX-0502,"安全与隐私",P2,"CSP #3",待开发
REX-0503,"安全与隐私",P2,"HSTS #3",待开发
REX-0504,"安全与隐私",P2,"脱敏 #3",待开发
REX-0505,"安全与隐私",P2,"JWT #3",待开发
REX-0506,"后端与服务",P2,"Fastify",待开发
REX-0507,"后端与服务",P2,"GraphQL",待开发
REX-0508,"后端与服务",P2,"PG用户",待开发
REX-0509,"后端与服务",P2,"PG Vault",待开发
REX-0510,"后端与服务",P2,"Redis",待开发
REX-0511,"后端与服务",P2,"BullMQ",待开发
REX-0512,"后端与服务",P2,"JWT",待开发
REX-0513,"后端与服务",P2,"OAuth",待开发
REX-0514,"后端与服务",P2,"S3",待开发
REX-0515,"后端与服务",P2,"SendGrid",待开发
REX-0516,"后端与服务",P2,"FCM",待开发
REX-0517,"后端与服务",P2,"Admin",待开发
REX-0518,"后端与服务",P2,"CMS",待开发
REX-0519,"后端与服务",P2,"事件采集",待开发
REX-0520,"后端与服务",P2,"API v1",待开发
REX-0521,"后端与服务",P2,"API v2",待开发
REX-0522,"后端与服务",P2,"Swagger",待开发
REX-0523,"后端与服务",P2,"Migration",待开发
REX-0524,"后端与服务",P2,"Seed",待开发
REX-0525,"后端与服务",P2,"RateLimit",待开发
REX-0526,"后端与服务",P2,"Health",待开发
REX-0527,"后端与服务",P2,"Fastify #2",待开发
REX-0528,"后端与服务",P2,"GraphQL #2",待开发
REX-0529,"后端与服务",P2,"PG用户 #2",待开发
REX-0530,"后端与服务",P2,"PG Vault #2",待开发
REX-0531,"后端与服务",P2,"Redis #2",待开发
REX-0532,"后端与服务",P2,"BullMQ #2",待开发
REX-0533,"后端与服务",P2,"JWT #2",待开发
REX-0534,"后端与服务",P2,"OAuth #2",待开发
REX-0535,"后端与服务",P2,"S3 #2",待开发
REX-0536,"后端与服务",P2,"SendGrid #2",待开发
REX-0537,"后端与服务",P2,"FCM #2",待开发
REX-0538,"后端与服务",P2,"Admin #2",待开发
REX-0539,"后端与服务",P2,"CMS #2",待开发
REX-0540,"后端与服务",P2,"事件采集 #2",待开发
REX-0541,"后端与服务",P2,"API v1 #2",待开发
REX-0542,"后端与服务",P2,"API v2 #2",待开发
REX-0543,"后端与服务",P2,"Swagger #2",待开发
REX-0544,"后端与服务",P2,"Migration #2",待开发
REX-0545,"后端与服务",P2,"Seed #2",待开发
REX-0546,"后端与服务",P2,"RateLimit #2",待开发
REX-0547,"后端与服务",P2,"Health #2",待开发
REX-0548,"后端与服务",P2,"Fastify #3",待开发
REX-0549,"后端与服务",P2,"GraphQL #3",待开发
REX-0550,"后端与服务",P2,"PG用户 #3",待开发
REX-0551,"后端与服务",P2,"PG Vault #3",待开发
REX-0552,"后端与服务",P2,"Redis #3",待开发
REX-0553,"后端与服务",P2,"BullMQ #3",待开发
REX-0554,"后端与服务",P2,"JWT #3",待开发
REX-0555,"后端与服务",P2,"OAuth #3",待开发
REX-0556,"后端与服务",P2,"S3 #3",待开发
REX-0557,"后端与服务",P2,"SendGrid #3",待开发
REX-0558,"后端与服务",P2,"FCM #3",待开发
REX-0559,"后端与服务",P2,"Admin #3",待开发
REX-0560,"后端与服务",P2,"CMS #3",待开发
REX-0561,"后端与服务",P2,"事件采集 #3",待开发
REX-0562,"后端与服务",P2,"API v1 #3",待开发
REX-0563,"后端与服务",P2,"API v2 #3",待开发
REX-0564,"后端与服务",P2,"Swagger #3",待开发
REX-0565,"后端与服务",P2,"Migration #3",待开发
REX-0566,"后端与服务",P2,"Seed #3",待开发
REX-0567,"后端与服务",P2,"RateLimit #3",待开发
REX-0568,"后端与服务",P2,"Health #3",待开发
REX-0569,"后端与服务",P2,"Fastify #4",待开发
REX-0570,"后端与服务",P2,"GraphQL #4",待开发
REX-0571,"后端与服务",P2,"PG用户 #4",待开发
REX-0572,"后端与服务",P2,"PG Vault #4",待开发
REX-0573,"后端与服务",P2,"Redis #4",待开发
REX-0574,"后端与服务",P2,"BullMQ #4",待开发
REX-0575,"后端与服务",P2,"JWT #4",待开发
REX-0576,"测试与QA",P2,"engine单测",待开发
REX-0577,"测试与QA",P2,"liveSignal Mock",待开发
REX-0578,"测试与QA",P2,"Hook测试",待开发
REX-0579,"测试与QA",P2,"Panel测试",待开发
REX-0580,"测试与QA",P2,"Create E2E",待开发
REX-0581,"测试与QA",P2,"Detail E2E",待开发
REX-0582,"测试与QA",P2,"Playwright",待开发
REX-0583,"测试与QA",P2,"Hardhat",待开发
REX-0584,"测试与QA",P2,"Foundry",待开发
REX-0585,"测试与QA",P2,"API集成",待开发
REX-0586,"测试与QA",P2,"视觉回归",待开发
REX-0587,"测试与QA",P2,"k6",待开发
REX-0588,"测试与QA",P2,"混沌",待开发
REX-0589,"测试与QA",P2,"覆盖率",待开发
REX-0590,"测试与QA",P2,"Snapshot",待开发
REX-0591,"测试与QA",P2,"Fuzz",待开发
REX-0592,"测试与QA",P2,"engine单测 #2",待开发
REX-0593,"测试与QA",P2,"liveSignal Mock #2",待开发
REX-0594,"测试与QA",P2,"Hook测试 #2",待开发
REX-0595,"测试与QA",P2,"Panel测试 #2",待开发
REX-0596,"测试与QA",P2,"Create E2E #2",待开发
REX-0597,"测试与QA",P2,"Detail E2E #2",待开发
REX-0598,"测试与QA",P2,"Playwright #2",待开发
REX-0599,"测试与QA",P2,"Hardhat #2",待开发
REX-0600,"测试与QA",P2,"Foundry #2",待开发
REX-0601,"测试与QA",P2,"API集成 #2",待开发
REX-0602,"测试与QA",P2,"视觉回归 #2",待开发
REX-0603,"测试与QA",P2,"k6 #2",待开发
REX-0604,"测试与QA",P2,"混沌 #2",待开发
REX-0605,"测试与QA",P2,"覆盖率 #2",待开发
REX-0606,"测试与QA",P2,"Snapshot #2",待开发
REX-0607,"测试与QA",P2,"Fuzz #2",待开发
REX-0608,"测试与QA",P2,"engine单测 #3",待开发
REX-0609,"测试与QA",P2,"liveSignal Mock #3",待开发
REX-0610,"测试与QA",P2,"Hook测试 #3",待开发
REX-0611,"测试与QA",P2,"Panel测试 #3",待开发
REX-0612,"测试与QA",P2,"Create E2E #3",待开发
REX-0613,"测试与QA",P2,"Detail E2E #3",待开发
REX-0614,"测试与QA",P2,"Playwright #3",待开发
REX-0615,"测试与QA",P2,"Hardhat #3",待开发
REX-0616,"测试与QA",P2,"Foundry #3",待开发
REX-0617,"测试与QA",P2,"API集成 #3",待开发
REX-0618,"测试与QA",P2,"视觉回归 #3",待开发
REX-0619,"测试与QA",P2,"k6 #3",待开发
REX-0620,"测试与QA",P2,"混沌 #3",待开发
REX-0621,"测试与QA",P2,"覆盖率 #3",待开发
REX-0622,"测试与QA",P2,"Snapshot #3",待开发
REX-0623,"测试与QA",P2,"Fuzz #3",待开发
REX-0624,"测试与QA",P2,"engine单测 #4",待开发
REX-0625,"测试与QA",P2,"liveSignal Mock #4",待开发
REX-0626,"DevOps部署",P2,"Vercel",待开发
REX-0627,"DevOps部署",P2,"CF Pages",待开发
REX-0628,"DevOps部署",P2,"Dockerfile",待开发
REX-0629,"DevOps部署",P2,"compose",待开发
REX-0630,"DevOps部署",P2,"GH Actions",待开发
REX-0631,"DevOps部署",P2,"PR Preview",待开发
REX-0632,"DevOps部署",P2,"Secrets",待开发
REX-0633,"DevOps部署",P2,"CDN",待开发
REX-0634,"DevOps部署",P2,"SSL",待开发
REX-0635,"DevOps部署",P2,"蓝绿",待开发
REX-0636,"DevOps部署",P2,"金丝雀",待开发
REX-0637,"DevOps部署",P2,"回滚",待开发
REX-0638,"DevOps部署",P2,"Terraform",待开发
REX-0639,"DevOps部署",P2,"Staging",待开发
REX-0640,"DevOps部署",P2,"分支保护",待开发
REX-0641,"DevOps部署",P2,"Build缓存",待开发
REX-0642,"DevOps部署",P2,"Vercel #2",待开发
REX-0643,"DevOps部署",P2,"CF Pages #2",待开发
REX-0644,"DevOps部署",P2,"Dockerfile #2",待开发
REX-0645,"DevOps部署",P2,"compose #2",待开发
REX-0646,"DevOps部署",P2,"GH Actions #2",待开发
REX-0647,"DevOps部署",P2,"PR Preview #2",待开发
REX-0648,"DevOps部署",P2,"Secrets #2",待开发
REX-0649,"DevOps部署",P2,"CDN #2",待开发
REX-0650,"DevOps部署",P2,"SSL #2",待开发
REX-0651,"DevOps部署",P2,"蓝绿 #2",待开发
REX-0652,"DevOps部署",P2,"金丝雀 #2",待开发
REX-0653,"DevOps部署",P2,"回滚 #2",待开发
REX-0654,"DevOps部署",P2,"Terraform #2",待开发
REX-0655,"DevOps部署",P2,"Staging #2",待开发
REX-0656,"DevOps部署",P2,"分支保护 #2",待开发
REX-0657,"DevOps部署",P2,"Build缓存 #2",待开发
REX-0658,"DevOps部署",P2,"Vercel #3",待开发
REX-0659,"DevOps部署",P2,"CF Pages #3",待开发
REX-0660,"DevOps部署",P2,"Dockerfile #3",待开发
REX-0661,"DevOps部署",P2,"compose #3",待开发
REX-0662,"DevOps部署",P2,"GH Actions #3",待开发
REX-0663,"DevOps部署",P2,"PR Preview #3",待开发
REX-0664,"DevOps部署",P2,"Secrets #3",待开发
REX-0665,"DevOps部署",P2,"CDN #3",待开发
REX-0666,"DevOps部署",P2,"SSL #3",待开发
REX-0667,"DevOps部署",P2,"蓝绿 #3",待开发
REX-0668,"DevOps部署",P2,"金丝雀 #3",待开发
REX-0669,"DevOps部署",P2,"回滚 #3",待开发
REX-0670,"DevOps部署",P2,"Terraform #3",待开发
REX-0671,"监控与运维",P2,"Sentry FE",待开发
REX-0672,"监控与运维",P2,"Sentry BE",待开发
REX-0673,"监控与运维",P2,"Grafana",待开发
REX-0674,"监控与运维",P2,"Prometheus",待开发
REX-0675,"监控与运维",P2,"链上率",待开发
REX-0676,"监控与运维",P2,"P99告警",待开发
REX-0677,"监控与运维",P2,"PagerDuty",待开发
REX-0678,"监控与运维",P2,"ELK",待开发
REX-0679,"监控与运维",P2,"Mixpanel",待开发
REX-0680,"监控与运维",P2,"Datadog",待开发
REX-0681,"监控与运维",P2,"Uptime",待开发
REX-0682,"监控与运维",P2,"成本",待开发
REX-0683,"监控与运维",P2,"Sentry FE #2",待开发
REX-0684,"监控与运维",P2,"Sentry BE #2",待开发
REX-0685,"监控与运维",P2,"Grafana #2",待开发
REX-0686,"监控与运维",P2,"Prometheus #2",待开发
REX-0687,"监控与运维",P2,"链上率 #2",待开发
REX-0688,"监控与运维",P2,"P99告警 #2",待开发
REX-0689,"监控与运维",P2,"PagerDuty #2",待开发
REX-0690,"监控与运维",P2,"ELK #2",待开发
REX-0691,"监控与运维",P2,"Mixpanel #2",待开发
REX-0692,"监控与运维",P2,"Datadog #2",待开发
REX-0693,"监控与运维",P2,"Uptime #2",待开发
REX-0694,"监控与运维",P2,"成本 #2",待开发
REX-0695,"监控与运维",P2,"Sentry FE #3",待开发
REX-0696,"监控与运维",P2,"Sentry BE #3",待开发
REX-0697,"监控与运维",P2,"Grafana #3",待开发
REX-0698,"监控与运维",P2,"Prometheus #3",待开发
REX-0699,"监控与运维",P2,"链上率 #3",待开发
REX-0700,"监控与运维",P2,"P99告警 #3",待开发
REX-0701,"监控与运维",P2,"PagerDuty #3",待开发
REX-0702,"监控与运维",P2,"ELK #3",待开发
REX-0703,"监控与运维",P2,"Mixpanel #3",待开发
REX-0704,"监控与运维",P2,"Datadog #3",待开发
REX-0705,"监控与运维",P2,"Uptime #3",待开发
REX-0706,"国际化与无障碍",P3,"i18next",待开发
REX-0707,"国际化与无障碍",P3,"语言检测",待开发
REX-0708,"国际化与无障碍",P3,"RTL",待开发
REX-0709,"国际化与无障碍",P3,"时区",待开发
REX-0710,"国际化与无障碍",P3,"数字格式",待开发
REX-0711,"国际化与无障碍",P3,"Crowdin",待开发
REX-0712,"国际化与无障碍",P3,"动态切换",待开发
REX-0713,"国际化与无障碍",P3,"SkipLink",待开发
REX-0714,"国际化与无障碍",P3,"i18next #2",待开发
REX-0715,"国际化与无障碍",P3,"语言检测 #2",待开发
REX-0716,"国际化与无障碍",P3,"RTL #2",待开发
REX-0717,"国际化与无障碍",P3,"时区 #2",待开发
REX-0718,"国际化与无障碍",P3,"数字格式 #2",待开发
REX-0719,"国际化与无障碍",P3,"Crowdin #2",待开发
REX-0720,"国际化与无障碍",P3,"动态切换 #2",待开发
REX-0721,"国际化与无障碍",P3,"SkipLink #2",待开发
REX-0722,"国际化与无障碍",P3,"i18next #3",待开发
REX-0723,"国际化与无障碍",P3,"语言检测 #3",待开发
REX-0724,"国际化与无障碍",P3,"RTL #3",待开发
REX-0725,"国际化与无障碍",P3,"时区 #3",待开发
REX-0726,"国际化与无障碍",P3,"数字格式 #3",待开发
REX-0727,"国际化与无障碍",P3,"Crowdin #3",待开发
REX-0728,"国际化与无障碍",P3,"动态切换 #3",待开发
REX-0729,"国际化与无障碍",P3,"SkipLink #3",待开发
REX-0730,"国际化与无障碍",P3,"i18next #4",待开发
REX-0731,"商业化与运营",P3,"定价页",待开发
REX-0732,"商业化与运营",P3,"Stripe",待开发
REX-0733,"商业化与运营",P3,"Premium",待开发
REX-0734,"商业化与运营",P3,"Boost",待开发
REX-0735,"商业化与运营",P3,"分成",待开发
REX-0736,"商业化与运营",P3,"白标",待开发
REX-0737,"商业化与运营",P3,"Public API",待开发
REX-0738,"商业化与运营",P3,"API Key",待开发
REX-0739,"商业化与运营",P3,"Referral",待开发
REX-0740,"商业化与运营",P3,"Affiliate",待开发
REX-0741,"商业化与运营",P3,"SLA",待开发
REX-0742,"商业化与运营",P3,"Landing",待开发
REX-0743,"商业化与运营",P3,"Roadmap",待开发
REX-0744,"商业化与运营",P3,"Changelog",待开发
REX-0745,"商业化与运营",P3,"Discord",待开发
REX-0746,"商业化与运营",P3,"文档",待开发
REX-0747,"商业化与运营",P3,"黑客松",待开发
REX-0748,"商业化与运营",P3,"Press",待开发
REX-0749,"商业化与运营",P3,"反馈",待开发
REX-0750,"商业化与运营",P3,"Analytics",待开发
REX-0751,"商业化与运营",P3,"定价页 #2",待开发
REX-0752,"商业化与运营",P3,"Stripe #2",待开发
REX-0753,"商业化与运营",P3,"Premium #2",待开发
REX-0754,"商业化与运营",P3,"Boost #2",待开发
REX-0755,"商业化与运营",P3,"分成 #2",待开发
REX-0756,"商业化与运营",P3,"白标 #2",待开发
REX-0757,"商业化与运营",P3,"Public API #2",待开发
REX-0758,"商业化与运营",P3,"API Key #2",待开发
REX-0759,"商业化与运营",P3,"Referral #2",待开发
REX-0760,"商业化与运营",P3,"Affiliate #2",待开发
REX-0761,"商业化与运营",P3,"SLA #2",待开发
REX-0762,"商业化与运营",P3,"Landing #2",待开发
REX-0763,"商业化与运营",P3,"Roadmap #2",待开发
REX-0764,"商业化与运营",P3,"Changelog #2",待开发
REX-0765,"商业化与运营",P3,"Discord #2",待开发
REX-0766,"商业化与运营",P3,"文档 #2",待开发
REX-0767,"商业化与运营",P3,"黑客松 #2",待开发
REX-0768,"商业化与运营",P3,"Press #2",待开发
REX-0769,"商业化与运营",P3,"反馈 #2",待开发
REX-0770,"商业化与运营",P3,"Analytics #2",待开发
REX-0771,"商业化与运营",P3,"定价页 #3",待开发
REX-0772,"商业化与运营",P3,"Stripe #3",待开发
REX-0773,"商业化与运营",P3,"Premium #3",待开发
REX-0774,"商业化与运营",P3,"Boost #3",待开发
REX-0775,"商业化与运营",P3,"分成 #3",待开发
REX-0776,"合规与法务",P3,"ToS",待开发
REX-0777,"合规与法务",P3,"Privacy",待开发
REX-0778,"合规与法务",P3,"Cookie",待开发
REX-0779,"合规与法务",P3,"GDPR",待开发
REX-0780,"合规与法务",P3,"CCPA",待开发
REX-0781,"合规与法务",P3,"免责",待开发
REX-0782,"合规与法务",P3,"年龄验证",待开发
REX-0783,"合规与法务",P3,"KYC",待开发
REX-0784,"合规与法务",P3,"税务",待开发
REX-0785,"合规与法务",P3,"审计",待开发
REX-0786,"合规与法务",P3,"DPA",待开发
REX-0787,"合规与法务",P3,"Geo限制",待开发
REX-0788,"合规与法务",P3,"ToS #2",待开发
REX-0789,"合规与法务",P3,"Privacy #2",待开发
REX-0790,"合规与法务",P3,"Cookie #2",待开发
REX-0791,"合规与法务",P3,"GDPR #2",待开发
REX-0792,"合规与法务",P3,"CCPA #2",待开发
REX-0793,"合规与法务",P3,"免责 #2",待开发
REX-0794,"合规与法务",P3,"年龄验证 #2",待开发
REX-0795,"合规与法务",P3,"KYC #2",待开发
REX-0796,"合规与法务",P3,"税务 #2",待开发
REX-0797,"合规与法务",P3,"审计 #2",待开发
REX-0798,"合规与法务",P3,"DPA #2",待开发
REX-0799,"合规与法务",P3,"Geo限制 #2",待开发
REX-0800,"合规与法务",P3,"ToS #3",待开发
